연번,지정번호,판매소명 ,주소,latitude,longitude
53,간석3동-207,GS25 간석로얄점,인천광역시 남동구 경인로644번길 80(간석동),37.459549954,126.696332348
54,간석3동-211,공원하이퍼(오전/2),"인천광역시 남동구 간석로 87, 101호(간석동)",37.468388593,126.708310445
55,간석3동-220,최고로 할인마트,"인천광역시 남동구 백범로294번길 15 (간석동, 인천간석엘에이치1단지) 상가동 지1층 비104호",37.461999476,126.719089036
56,간석3동-227,이마트24 간석유영점,"인천광역시 남동구 간석로 68(간석동, 유영아파트) 103,104,105호",37.466026406,126.715151828
57,간석3동-229,세븐일레븐 인천간석은혜점,"인천광역시 남동구 경인로742번길 7, 102,103호 (간석동)",37.459549954,126.696332348
58,간석4동-025,홈플러스(주)간석점,인천광역시 남동구 경원대로 971(간석동),37.466094798,126.689843753
59,간석4동-048,신성슈퍼,인천광역시 남동구 용천로152번길28(간석동),37.466137987,126.714550145
60,간석4동-075,세븐일레븐 인천간석영남점(오전/15),인천광역시 남동구 석정로497번길 42 (간석동),37.466320959,126.686990649
61,간석4동-084,CU 남동간석점,인천광역시 남동구 석정로497번길17(간석동),37.466320959,126.686990649
62,간석4동-115,한솔할인마트(오전/17),인천광역시 남동구 석정로 485(간석동),37.466320959,126.686990649
63,간석4동-120,이마트24 간석석정로점,인천광역시 남동구 석정로497번길 78(간석동),37.466320959,126.686990649
64,간석4동-124,플러스마트,"인천광역시 남동구 백범로399,(간석동)",37.453605482,126.734714012
65,간석4동-129,세븐일레븐 인천간석역점(오전/21),인천광역시 남동구 석산로 3 (간석동),37.460123793,126.702889998
66,간석4동-132,싱싱할인마트(오전/27),인천광역시 남동구 경인로599번길 33(간석동),37.459549954,126.696332348
67,간석4동-136,월드할인마트(오전/13),"인천광역시 남동구 석정로566번길5, 1층(간석동)",37.466320959,126.686990649
68,간석4동-140,CU간석리즈빌,"인천광역시 남동구 경인로649, 105호 105-1호(간석동, 티케이리즈빌)",37.467718226,126.707508141
69,간석4동-142,GS25 간석미래점(오전/16),"인천광역시 남동구 경원대로 972, 에이동 1층 107호(간석동, 신원아침도시아파텔)",37.468777319,126.691403559
70,간석4동-149,CU 간석풍림점,인천광역시 남동구 주안로 258 (간석동) 1층 107~108호,37.463507837,126.695573242
71,간석4동-159,CU 간석수연점,인천광역시 남동구 석정로497번길 64(간석동) 101호,37.466320959,126.686990649
72,간석4동-163,씨유 간석4동점,"인천광역시 남동구 석정로 580(간석동) 101, 102호",37.466320959,126.686990649
73,간석4동-164,씨유 간석본점(오전/14),"인천광역시 남동구 방축로 503, 101호 (간석동, 온누리상가)",37.471680169,126.686015900
74,만수1동-022,주공소비자유통,인천광역시 남동구 담방로 105(만수동),37.448343442,126.740797081
75,만수1동-029,하나슈퍼,인천광역시 남동구 하촌로 59 (만수동),37.449219318,126.730560322
76,만수1동-056,나우,인천광역시 남동구 백범로 67 (만수동),37.453605482,126.734714012
77,만수1동-087,GS25만수삼환점,인천광역시 남동구 백범로101번길 74,37.453605482,126.734714012
78,만수1동-094,바로이마트만수점,"인천광역시 남동구 남동구 인주대로887번길 51, 1층(만수동)",37.450617073,126.701896496
79,만수1동-112,세븐일레븐 인천만수남광점,"인천광역시 남동구 구월로372번길 90, 103호 (만수동, 하우스토리 만수)",37.455001889,126.728844074
80,만수1동-113,미니스톱 인천샛별점,인천광역시 남동구 구월로372번길 67 (만수동) 1층,37.456105562,126.713352104
81,만수1동-120,하모니마트,"인천광역시 남동구 하촌로 30, 1층(만수동)",37.449219318,126.730560322
82,만수2동-057,주공하이퍼,인천광역시 남동구 만수서로 105번길 40-18 (만수동),37.461390600,126.731160799
83,만수2동-103,CU인천휴먼시아점,인천광역시 남동구 만수서로 53 향촌A (만수2동),37.460572529,126.730152862
84,만수2동-114,GS수퍼 만수2점,"인천광역시 남동구 만수로107, 1층, 4층 일부(만수동)",37.457816282,126.729584966
85,만수2동-128,GS더프레시 만수2점,"인천광역시 남동구 만수로 107(만수동) 1층,2층 일부호",37.457816282,126.729584966
86,만수2동-130,GS25 만수센터점,인천광역시 남동구 만수서로 95(만수동) 1층,37.461390600,126.731160799
87,만수2동-131,GS25 만수신동아점,인천광역시 남동구 만수로111번길 29(만수동) 1층,37.457816282,126.729584966
88,만수2동-132,(주)코리아세븐 인천포레시안점,"인천광역시 남동구 만수서로 53, 근린생활시설 1동 105, 106호 (만수동)",37.461390600,126.731160799
89,만수2동-133,씨유 만수2동점,"인천광역시 남동구 만수로75번길 71-2, 1층 (만수동)",37.457816282,126.729584966
90,만수3동-001,만수할인마트,인천광역시 남동구 백범로226번길 35 (만수동),37.453605482,126.734714012
91,만수3동-026,우리마트(만수3),인천광역시 남동구 서판로64번길63(만수동),37.461976314,126.723004031
92,만수3동-065,양지할인마트(대형폐),인천광역시 남동구 서판로64번길 11-2 (만수동),37.461976314,126.723004031
93,만수3동-073,GS25 만수리치점,"인천광역시 남동구 서판로54번길 54, 1층(만수동)",37.461976314,126.723004031
94,만수3동-149,이마트24 만수벽산점,"인천광역시 남동구 서판로 35(만수동) 상가동 108,109호",37.461976314,126.723004031
95,만수4동-011,드림마트(만수4),인천광역시 남동구 만수서로 108 (만수동),37.461390600,126.731160799
96,만수4동-045,하이마트,"인천광역시 남동구 만수서로105번길 40-24 (만수동) 104,105,106,107호",37.461390600,126.731160799
97,만수4동-050,세븐일레븐 서창베르디움점,"인천광역시 남동구 서창남순환로 200(서창동, 호반 베르디움) 113동 1층 102호",37.423695311,126.746662699
98,만수5동-005,이마트24 만수낙원점,"인천광역시 남동구 만경로25(만수동,1층)",37.456262721,126.727290240
99,만수5동-012,하나종합상사,인천광역시 남동구 구월말로85번길 23-1(만수동),37.449659308,126.724081973
100,만수5동-127,네모클린 사회적협동조합,"인천광역시 남동구 구월말로91번길 18-2, 가동 102호(만수동)",37.458563163,126.725897543
101,만수5동-134,미니스톱 만수공원점,"인천광역시 남동구 만경로8번길 26, 1층(만수동)",37.456262721,126.727290240
102,만수5동-144,씨유 만수주아점,"인천광역시 남동구 구월말로 82-1, 1층 (만수동)",37.449659308,126.724081973
103,만수5동-145,(주)코리아세븐 인천만수제일점,"인천광역시 남동구 구월로 307, 21 (만수동, 영동빌딩 1층)",37.456105562,126.713352104
104,만수6동-009,남동구청직원복지회,인천광역시 남동구 소래로633(만수동),37.447239730,126.731903473
105,만수6동-024,하나슈퍼,인천광역시 남동구 장승남로 34번길 22(만수동),37.443768152,126.737652127
106,만수6동-084,싸요사,"인천광역시 남동구 담방서로17번길 37, 1층 109호(만수동)",37.446717662,126.738126152
107,만수6동-094,뉴서울할인마트,"인천광역시 남동구 담방로21번길55, 상가동 1층 34호(만수동, 만수뉴서울아파트단지내)",37.441809526,126.738995843
108,만수6동-110,GS25 인천담방마을점,"인천광역시 남동구 매소홀로 1040(만수동) 102,104호",37.440477087,126.734108814
109,서창동-006,CU 서창그린점(오전/12),"인천광역시 남동구 서창남로19, 상가동 104호(서창동)",37.427502148,126.746107246
110,서창동-036,세븐일레븐인천서창센터점,인천광역시 남동구 서창남순환로 222(서창동),37.430118583,126.745919828
111,서창동-037,세븐일레븐 서창휴먼시아점,인천광역시 남동구 서창남순환로 190-102(서창동),37.430118583,126.745919828
112,서창동-039,CU 서창2지구,인천광역시 남동구 서창남로 42(서창동),37.427502148,126.746107246
113,남촌동-069,GS25 인천남촌로(오후/5),인천광역시 남동구 남촌동로3번길 33 (남촌동) 1층,37.432290365,126.715221515
114,논현1동-058,GS25논현 푸르내,인천광역시 남동구 포구로96(논현동),37.399290859,126.739509726
115,논현1동-065,열린할인마트,인천광역시 남동구 논현로 105(논현동),37.402512696,126.717727481
116,논현1동-126,동산주공마트(오전/2),인천광역시 남동구 소래역로 119(논현동),37.405688252,126.729319684
117,논현1동-128,CU 논현단풍,인천광역시 남동구 논현로 242(논현동),37.402512696,126.717727481
118,논현1동-150,팝스토어소래포구,인천광역시 남동구 포구로 18(논현동),37.399290859,126.739509726
119,논현1동-169,세븐일레븐인천논현현대,인천광역시 남동구 논고개로68번길 39(논현동),37.397437886,126.734454260
120,논현1동-178,CU논현베스트,인천광역시 남동구 은봉로312번길 32(논현동),37.409255554,126.699789221
121,논현1동-202,등대할인마트,"인천광역시 남동구 청능대로715번길 62, 101호(논현동, 등대마을논현주공14단지 비상가)",37.398419061,126.710417328
122,논현1동-208,GS25 소래포구역점,"인천광역시 남동구 소래역로46번길 20, 105, 106호(논현동, 아크리아 상가)",37.405890769,126.729117803
123,논현1동-213,GS25논현청능점(오전/5),인천광역시 남동구 청능대로715번길 63 (논현동) 상가동 105호,37.405458344,126.687091040
124,논현1동-223,GS25 논현청조타운점,인천광역시 남동구 논고개로188번길 10(논현동) 주건축물 2동,37.401920816,126.723776554
125,고잔동-008,남동행운마트,"인천광역시 남동구 은청로 4-7, 에이동 148호(고잔동,남동산업용품상가)",37.406622509,126.693313512
126,고잔동-068,CU 인천남동공단(오후/17),인천광역시 남동구 논현고잔로109번길 114 (고잔동),37.404224415,126.716394041
127,고잔동-093,(주) 엠씨코리아 남동공단공장,"인천광역시 남동구 남동동로41(고잔동, 145블럭 10로트)",37.394456915,126.697075437
128,장수서창동-004,지에스25 서창열린점,"인천광역시 남동구 서창남순환로 124-12, 단지내상가(서창동)",37.430424710,126.743836996
129,장수서창동-018,GS25 서창청아안점,인천광역시 남동구 서창남순환로 108 (서창동),37.430118583,126.745919828
130,장수서창동-039,슈퍼맨할인마트 장수점,인천광역시 남동구 장자로5번길 2(장수동),37.450606079,126.749861476
131,장수서창동-054,세븐일레븐 인천장수주공점,"인천광역시 남동구 장자로 1,1층 (장수동)",37.450606079,126.749861476
132,장수서창동-061,씨유 서창베스트점(오전/7),"인천광역시 남동구 서창남순환로 82, 1층 101호(서창동, 청광플러스원아파트)",37.430618504,126.748512620
133,남촌도림동-014,CU 남촌풍림행복점(오후/8),"인천광역시 남동구 남촌로84번길 47, 1층(남촌동)",37.429997390,126.713945859
134,남촌도림동-023,그린빌마트,인천광역시 남동구 도림로31번길 11 (도림동) 1층,37.420039228,126.729126982
135,남촌도림동-028,다온마트 남촌점(오후/6),인천광역시 남동구 남촌동로15번길 24(남촌동) 1층,37.432290365,126.715221515
136,남촌도림동-031,이마트24 도림주공점,인천광역시 남동구 오봉로 20(도림동) 1층,37.416378006,126.728826198
137,논현2동-051,테크노파크식당,인천광역시 남동구 은봉로 51(논현동),37.409255554,126.699789221
138,논현2동-071,GS25 논현해피점,"인천광역시 남동구 논현로81, 1층 103호(논현동)",37.402512696,126.717727481
139,논현2동-072,GS25 논현숲속점,"인천광역시 남동구 은봉로165번길 20, 101호(논현동)",37.409255554,126.699789221
140,논현2동-073,월드마트,인천광역시 남동구 논현로20(논현동),37.402512696,126.717727481
141,논현2동-078,CU 논현논곡점,"인천광역시 남동구 논곡로 76, 1층(논현동)",37.419641814,126.709842373
142,논현2동-079,GS25 논현향촌점,"인천광역시 남동구 앵고개로847번길 51, 상가 에이동 101,102호(논현동)",37.395280689,126.724504416
143,논현2동-103,지에스25 논현창업주택점(오전/1),"인천광역시 남동구 은봉로 297, 1~2호(논현동, 인천논현엘에이치 16단지)",37.405835727,126.722375631
144,논현고잔동-032,CU남동형제전기점,인천광역시 남동구 남동대로 150(고잔동),37.388054686,126.685997980
145,논현고잔동-046,365세일마트,"인천광역시 남동구 에코중앙로156번길 1,1층(논현동)",37.386438342,126.712432829
146,논현고잔동-048,GS25논현9단지점,인천광역시 남동구 에코중앙로84번길 33,37.386438342,126.712432829
147,논현고잔동-066,GS25 논현그린점,"인천광역시 남동구 소래역남로41, 516동 1층 104호(논현동, 한화에코메트로5단지)",37.397654009,126.730768435
148,논현고잔동-067,GS25 논현꿈에그린점,"인천광역시 남동구 아암대로1503번길 102, 104호(논현동, 단지내상가)",37.394195740,126.725965734
149,논현고잔동-073,이마트24 논현유승점(오전/14),"인천광역시 남동구 에코중앙로66번길6, 105호(논현동, 유승한내들와이드오션 상가)",37.392112003,126.726232084
150,논현고잔동-079,GS25 논현고잔점(오전/13),"인천광역시 남동구 아암대로1503번길 32, 상가동 1층 111호(논현동)",37.387902436,126.683698512
151,논현고잔동-087,이마트24 R남동스타점,인천광역시 남동구 논현고잔로109번길 70-7 (고잔동),37.404224415,126.716394041
152,논현고잔동-094,GS25 남동금호점,"인천광역시 남동구 능허대로 583(고잔동) 114호,115호",37.396210137,126.675235695
153,논현고잔동-096,GS25 한화프라자,인천광역시 남동구 소래역남로 12(논현동) 101호,37.399941786,126.733071524
154,논현고잔동-098,GS25 남동청류지산점,"인천광역시 남동구 호구포로 139(고잔동) 118,125호 청류지식산업센터",37.460207275,126.720316366
155,논현고잔동-099,GS25 남동마크원점,인천광역시 남동구 호구포로 194(고잔동) 104호,37.402439213,126.709495385
156,논현고잔동-102,지에스(GS)25 고잔엘아이점(오후/15),"인천광역시 남동구 호구포로 50, 1충 M14호(고잔동)",37.402439213,126.709495385
157,논현고잔동-104,세븐일레븐 인천꿈에그린점,"인천광역시 남동구 에코중앙로156번길 13-17, 104~105호 (논현동)",37.386438342,126.712432829
158,서창2동-006,GS25 서창꿈에그린점,"인천광역시 남동구 운연천로 11, 근린생활시설-1동 1층 110호, 111호, 112호(서창동, 인천서창꿈에그린)",37.428803133,126.758207889
159,서창2동-008,세븐일레븐 서창은서점,"인천광역시 남동구 운연천로 7, 107호, 108호(서창동)",37.428935844,126.757748212
160,서창2동-009,이마트24 서창퍼스트(오전/16),"인천광역시 남동구 서창남순환로 190-17, 1층 103호, 104호(서창동, 서창LH7단지상가)",37.430424710,126.743836996
161,서창2동-012,이마트24 R서창더프라임점(오전/13),인천광역시 남동구 서창남로 2-1 (서창동) 105~107호,37.427502148,126.746107246
162,서창2동-015,세븐일레븐 서창베르디움점,"인천광역시 남동구 서창남순환로 200 (서창동, 호반 베르디움) 상가동 102호",37.423695311,126.746662699
163,서창2동-018,(주)코리아세븐 인천서창행복점,"인천광역시 남동구 서창남로 109(서창동, 인천서창엘에이치15단지) 상가동 1층 104,105호",37.429552322,126.746861104
164,서창2동-020,GS25 서창스퀘어점,인천광역시 남동구 서창남순환로216번길 20(서창동) 1층 106호,37.430118583,126.745919828
165,서창2동-022,웰빙마트(오전/15),인천광역시 남동구 서창방산로 158(서창동),37.423625462,126.755244746
166,서창2동-023,지에스25 서창오드리점(오전/8),"인천광역시 남동구 서창남순환로 55(서창동, 서창센트럴푸르지오) 상가동 103,104호",37.429698880,126.748194413
